SOCS4,ENSG00000180008
NXN,ENSG00000167693
DDX20,ENSG00000064703
STMND1,ENSG00000230873
TMEM189-UBE2V1,ENSG00000124208
LCE2D,ENSG00000187223
KIR2DL3,ENSG00000243772
CILP2,ENSG00000160161
MADD,ENSG00000110514
GTF2H3,ENSG00000111358
PITPNM3,ENSG00000091622
PHOSPHO1,ENSG00000173868
RAP1GAP,ENSG00000076864
MAST2,ENSG00000086015
PROZ,ENSG00000126231
STRN,ENSG00000115808
ILF3,ENSG00000129351
ENTPD3,ENSG00000168032
C19orf48,ENSG00000167747
C1orf216,ENSG00000142686
GGT6,ENSG00000167741
CYB5D2,ENSG00000167740
ULK4,ENSG00000168038
KLK4,ENSG00000167749
KLK1,ENSG00000167748
APOB,ENSG00000084674
KRT13,ENSG00000171401
TRBJ2-5,ENSG00000211769
TRBJ2-4,ENSG00000211768
SLC35E4,ENSG00000100036
WDR27,ENSG00000184465
NCOA1,ENSG00000084676
PTHLH,ENSG00000087494
PHACTR3,ENSG00000087495
TRBJ2-2,ENSG00000211765
TRBJ2-1,ENSG00000211764
RPA3-AS1,ENSG00000219545
ZNF32,ENSG00000169740
GAN,ENSG00000261609
LDB2,ENSG00000169744
EDN3,ENSG00000124205
HNRNPUL2-BSCL2,ENSG00000234857
GCGR,ENSG00000215644
MAF,ENSG00000178573
ZBED4,ENSG00000100426
G3BP2,ENSG00000138757
HIST1H1E,ENSG00000168298
SLC2A3,ENSG00000059804
GAL,ENSG00000069482
RP11-894J14.5,ENSG00000272305
PTTG1IP,ENSG00000183255
PDHB,ENSG00000168291
C1orf172,ENSG00000175707
CBLL1,ENSG00000105879
LDLRAD4,ENSG00000168675
CHRNA2,ENSG00000120903
IFNLR1,ENSG00000185436
DNAH11,ENSG00000105877
WDR91,ENSG00000105875
FBXO9,ENSG00000112146
ADAM19,ENSG00000135074
PRPF39,ENSG00000185246
HAVCR2,ENSG00000135077
LATS1,ENSG00000131023
PKP2,ENSG00000057294
ICK,ENSG00000112144
RARA,ENSG00000131759
WTIP,ENSG00000142279
RNF44,ENSG00000146083
AC011475.1,ENSG00000226104
MRPL49,ENSG00000149792
SCGB1A1,ENSG00000149021
MUT,ENSG00000146085
ERAL1,ENSG00000132591
NDFIP2,ENSG00000102471
CDC42EP2,ENSG00000149798
POLR2L,ENSG00000177700
ARL5B,ENSG00000165997
RGPD6,ENSG00000183054
FAM20C,ENSG00000177706
